date,year,month,day,tavg,tmin,tmax,wdir,wspd,humidity,uvindex,sunrise,sunset,durationday,season,wdirn
2017-01-01,2017,01,01,5.9,4.0,9.4,WSW,14.0,90.5,0,08:06:11,16:02:20,476,winter,241.0
2017-01-02,2017,01,02,1.9,-2.6,5.1,North,12.2,82.4,2,08:06:03,16:03:25,477,winter,352.0
2017-01-03,2017,01,03,0.9,-3.5,5.1,West,11.2,85.5,2,08:05:51,16:04:33,478,winter,262.0
2017-01-04,2017,01,04,3.9,-1.3,8.2,NW,12.5,74.8,2,08:05:36,16:05:44,480,winter,314.0
2017-01-05,2017,01,05,0.0,-3.3,6.4,NW,4.4,78.8,2,08:05:18,16:06:57,481,winter,315.0
2017-01-06,2017,01,06,1.5,-4.6,6.6,SSW,6.6,90.8,2,08:04:56,16:08:12,483,winter,205.45833333333334
2017-01-07,2017,01,07,8.4,6.0,10.6,West,6.6,95.7,2,08:04:32,16:09:29,484,winter,278.0
2017-01-08,2017,01,08,8.4,6.6,9.9,SSW,2.7,93.6,1,08:04:03,16:10:49,486,winter,205.45833333333334
2017-01-09,2017,01,09,7.7,3.7,9.6,SW,13.9,91.7,1,08:03:32,16:12:11,488,winter,236.0
2017-01-10,2017,01,10,6.1,2.5,9.0,West,11.7,83.7,2,08:02:58,16:13:35,490,winter,262.0
2017-01-11,2017,01,11,7.9,5.1,10.7,West,20.1,72.9,3,08:02:20,16:15:01,492,winter,272.0
2017-01-12,2017,01,12,4.3,0.7,6.7,WSW,15.6,81.6,1,08:01:40,16:16:29,494,winter,255.0
2017-01-13,2017,01,13,2.6,0.5,5.9,WNW,24.0,75.0,2,08:00:56,16:17:59,497,winter,300.0
2017-01-14,2017,01,14,1.7,-1.1,4.5,WNW,13.1,85.3,2,08:00:09,16:19:30,499,winter,293.0
2017-01-15,2017,01,15,4.9,-0.5,8.6,WNW,9.3,95.2,1,07:59:20,16:21:03,501,winter,291.0
2017-01-16,2017,01,16,5.4,4.2,7.8,SE,6.3,88.6,1,07:58:27,16:22:38,504,winter,128.0
2017-01-17,2017,01,17,1.7,-2.9,6.7,SSW,3.2,73.7,2,07:57:32,16:24:14,506,winter,205.45833333333334
2017-01-18,2017,01,18,-0.6,-5.0,5.1,SSW,1.7,72.2,3,07:56:34,16:25:52,509,winter,205.45833333333334
2017-01-19,2017,01,19,0.0,-4.6,6.5,NNE,5.6,74.8,3,07:55:33,16:27:30,511,winter,16.0
2017-01-20,2017,01,20,0.8,-4.4,6.9,NE,10.3,70.7,3,07:54:29,16:29:10,514,winter,47.0
2017-01-21,2017,01,21,-0.1,-5.5,5.6,East,8.2,69.9,3,07:53:23,16:30:51,517,winter,93.0
2017-01-22,2017,01,22,-2.2,-7.2,7.1,SSW,2.7,88.2,3,07:52:14,16:32:33,520,winter,205.45833333333334
2017-01-23,2017,01,23,-0.4,-6.2,4.2,SSW,3.1,94.9,3,07:51:03,16:34:17,523,winter,205.45833333333334
2017-01-24,2017,01,24,1.1,-3.1,9.1,SSW,2.9,89.6,2,07:49:49,16:36:00,526,winter,205.45833333333334
2017-01-25,2017,01,25,0.4,-4.1,3.2,SE,5.9,97.2,1,07:48:33,16:37:45,529,winter,137.0
2017-01-26,2017,01,26,-0.6,-2.1,0.2,SE,13.9,82.9,3,07:47:14,16:39:31,532,winter,142.0
2017-01-27,2017,01,27,2.4,-3.7,6.1,ESE,10.6,84.9,3,07:45:53,16:41:17,535,winter,112.0
2017-01-28,2017,01,28,7.1,3.9,10.3,SSW,15.0,78.7,2,07:44:30,16:43:04,538,winter,205.0
2017-01-29,2017,01,29,5.3,-1.8,9.4,South,10.6,90.5,2,07:43:04,16:44:52,541,winter,189.0
2017-01-30,2017,01,30,7.4,5.9,10.1,ENE,11.2,90.1,2,07:41:37,16:46:40,545,winter,69.0
2017-01-31,2017,01,31,7.0,5.5,9.2,ESE,13.3,94.3,1,07:40:07,16:48:28,548,winter,122.0
2017-02-01,2017,02,01,10.4,9.3,11.2,South,14.6,93.5,1,07:38:35,16:50:17,551,winter,180.0
2017-02-02,2017,02,02,10.4,9.4,11.3,South,19.9,84.9,1,07:37:02,16:52:06,555,winter,180.0
2017-02-03,2017,02,03,8.2,5.0,10.4,South,21.9,79.6,2,07:35:26,16:53:55,558,winter,180.0
2017-02-04,2017,02,04,4.4,0.0,9.9,South,6.2,86.3,2,07:33:49,16:55:45,561,winter,174.0
2017-02-05,2017,02,05,4.3,3.1,5.0,NE,11.5,88.5,1,07:32:09,16:57:35,565,winter,39.0
2017-02-06,2017,02,06,3.5,-2.6,7.3,South,9.6,84.8,3,07:30:28,16:59:25,568,winter,179.40740740740742
2017-02-07,2017,02,07,6.2,2.2,9.7,NW,8.7,82.0,3,07:28:45,17:01:15,572,winter,315.0
2017-02-08,2017,02,08,3.5,1.7,4.7,NNE,10.0,81.7,3,07:27:01,17:03:05,576,winter,21.0
2017-02-09,2017,02,09,1.8,1.2,2.2,ENE,15.7,82.8,3,07:25:14,17:04:55,579,winter,58.0
2017-02-10,2017,02,10,1.3,0.8,2.0,NNE,14.6,88.4,2,07:23:27,17:06:45,583,winter,30.0
2017-02-11,2017,02,11,1.5,0.4,2.4,NNE,15.7,87.7,2,07:21:37,17:08:35,586,winter,19.0
2017-02-12,2017,02,12,2.9,1.3,5.7,ENE,18.9,87.3,2,07:19:47,17:10:25,590,winter,65.0
2017-02-13,2017,02,13,5.8,4.3,9.7,East,25.3,81.3,4,07:17:55,17:12:15,594,winter,90.0
2017-02-14,2017,02,14,7.0,2.5,11.0,ESE,12.7,75.9,3,07:16:01,17:14:05,598,winter,114.0
2017-02-15,2017,02,15,8.9,5.8,11.4,South,10.7,88.6,2,07:14:06,17:15:54,601,winter,175.0
2017-02-16,2017,02,16,8.4,5.3,11.4,WSW,12.7,82.4,3,07:12:10,17:17:44,605,winter,247.0
2017-02-17,2017,02,17,8.7,5.5,13.0,WSW,8.0,79.3,4,07:10:13,17:19:33,609,winter,250.0
2017-02-18,2017,02,18,7.6,3.9,12.5,SW,9.3,82.8,4,07:08:14,17:21:22,613,winter,220.0
2017-02-19,2017,02,19,8.0,2.4,12.5,WSW,11.1,85.1,4,07:06:14,17:23:11,616,winter,244.0
2017-02-20,2017,02,20,12.2,9.6,16.8,West,18.4,84.1,4,07:04:13,17:25:00,620,winter,259.0
2017-02-21,2017,02,21,11.4,9.9,12.9,West,21.0,85.2,2,07:02:11,17:26:48,624,winter,260.0
2017-02-22,2017,02,22,12.0,10.7,13.6,WSW,27.9,82.6,2,07:00:08,17:28:36,628,winter,255.0
2017-02-23,2017,02,23,9.4,5.5,11.0,West,38.9,70.1,4,06:58:04,17:30:24,632,winter,265.0
2017-02-24,2017,02,24,5.5,2.2,9.1,WNW,14.5,64.9,4,06:55:59,17:32:11,636,winter,282.0
2017-02-25,2017,02,25,8.3,5.0,10.5,SW,20.3,80.7,2,06:53:53,17:33:59,640,winter,222.0
2017-02-26,2017,02,26,10.2,7.8,12.1,SW,23.4,84.0,4,06:51:47,17:35:46,643,winter,232.0
2017-02-27,2017,02,27,6.5,3.0,8.6,SW,17.3,86.3,2,06:49:39,17:37:32,647,winter,218.0
2017-02-28,2017,02,28,4.4,1.0,7.6,WSW,18.1,79.9,4,06:47:31,17:39:19,651,winter,250.0
2017-03-01,2017,03,01,6.9,5.1,9.1,WSW,16.6,79.4,4,06:45:22,17:41:05,655,winter,248.0
2017-03-02,2017,03,02,7.5,5.3,11.1,WSW,27.8,61.0,5,06:43:12,17:42:51,659,winter,252.0
2017-03-03,2017,03,03,8.0,4.8,11.3,SSE,13.3,82.9,1,06:41:02,17:44:36,663,winter,149.0
2017-03-04,2017,03,04,8.6,6.7,12.2,SW,15.0,77.7,4,06:38:50,17:46:22,667,winter,215.0
2017-03-05,2017,03,05,7.0,5.4,10.4,SW,22.1,79.8,4,06:36:39,17:48:07,671,winter,233.0
2017-03-06,2017,03,06,6.6,2.9,9.9,WNW,14.8,72.3,5,06:34:26,17:49:52,675,winter,292.0
2017-03-07,2017,03,07,7.3,4.0,11.4,West,12.5,73.1,5,06:32:13,17:51:36,679,winter,267.0
2017-03-08,2017,03,08,10.6,7.6,14.5,WSW,16.1,86.0,4,06:30:00,17:53:20,683,winter,245.0
2017-03-09,2017,03,09,11.9,8.7,15.6,WNW,15.6,66.1,5,06:27:46,17:55:04,687,winter,294.0
2017-03-10,2017,03,10,9.6,6.1,12.4,SSE,10.1,81.9,2,06:25:32,17:56:48,691,winter,158.0
2017-03-11,2017,03,11,12.4,10.3,16.9,South,8.5,78.0,5,06:23:17,17:58:31,695,winter,182.0
2017-03-12,2017,03,12,10.2,8.2,11.8,NW,6.2,77.7,2,06:21:02,18:00:15,699,winter,305.0
2017-03-13,2017,03,13,10.1,4.5,14.9,WNW,11.4,65.1,6,06:18:47,18:01:58,703,winter,303.0
2017-03-14,2017,03,14,11.1,7.0,14.6,West,14.5,82.0,6,06:16:31,18:03:40,707,winter,270.0
2017-03-15,2017,03,15,11.2,5.4,18.0,West,5.9,77.4,6,06:14:15,18:05:23,711,winter,264.0
2017-03-16,2017,03,16,8.3,3.7,12.1,SSW,11.4,83.0,3,06:11:59,18:07:05,715,winter,212.3448275862069
2017-03-17,2017,03,17,8.3,3.4,11.5,West,21.4,69.0,5,06:09:43,18:08:47,719,winter,267.0
2017-03-18,2017,03,18,12.1,9.7,14.0,West,24.7,83.2,5,06:07:26,18:10:29,723,winter,262.0
2017-03-19,2017,03,19,12.5,11.1,14.9,WSW,29.0,75.8,6,06:05:10,18:12:11,727,winter,254.0
2017-03-20,2017,03,20,10.5,6.2,12.5,WSW,20.9,84.1,2,06:02:53,18:13:53,731,winter,240.0
2017-03-21,2017,03,21,7.2,4.2,11.3,WSW,20.2,63.1,6,06:00:36,18:15:35,734,spring,247.0
